author,title,pub_year,citation,num_citations
Julie Andersen,Amyloid β accelerates age-related proteome-wide protein insolubility,2024,"GeroScience, 1-18, 2024",2
Julie Andersen,"Association of loneliness, social isolation, and neuroticism in Alzheimer’s disease risk: a two-step Mendelian randomization study",2024,,0
Julie Andersen,Aβ-targeting synNotch Receptor for Alzheimer′ s Disease: Expanding Applications to Extracellular Protein Aggregates,2024,"bioRxiv, 2024.10. 15.618096, 2024",0
Julie Andersen,Single-cell transcriptomics reveals colonic immune perturbations during amyloid-β driven Alzheimer's disease in mice,2024,"bioRxiv, 2024.01. 27.573841, 2024",0
Chris Benz,Deep learning assessment of senescence-associated nuclear morphologies in mammary tissue from healthy female donors to predict future risk of breast cancer: a retrospective …,2024,"The Lancet Digital Health 6 (10), e681-e690, 2024",2
Chris Benz,Therapeutic targeting of HYPDH/PRODH2 with N-propargylglycine offers a Hyperoxaluria treatment opportunity,2024,"Biochimica et Biophysica Acta (BBA)-Molecular Basis of Disease 1870 (1), 166848, 2024",2
Chris Benz,Assessment of salivary cadmium levels and breast density in the Marin Women's Study,2024,"Cancer Medicine 13 (2), e6973, 2024",1
Chris Benz,Differential long-term tamoxifen therapy benefit by menopausal status in breast cancer patients: secondary analysis of a controlled randomized clinical trial,2024,"JNCI: Journal of the National Cancer Institute, djae268, 2024",0
Chris Benz,Noncovalent Inhibition and Covalent Inactivation of Proline Dehydrogenase by Analogs of N-Propargylglycine,2024,"Biochemistry, 2024",0
Chris Benz,Single-cell chromatin accessibility reveals malignant regulatory programs in primary human cancers,2024,"Science 385 (6713), eadk9217, 2024",0
Chris Benz,315P Long-term tamoxifen benefit in pre-and postmenopausal patients of high and low risk with luminal A and B breast cancer,2024,"Annals of Oncology 35, S346, 2024",0
Chris Benz,Leveraging compact feature sets for TCGA-based molecular subtype classification on new samples,2024,"Cancer Research 84 (6_Supplement), 6548-6548, 2024",0
Chris Benz,"Brain transcriptomic, metabolic and mitohormesis properties associated with N-propargylglycine treatment: A prevention strategy against neurodegeneration",2024,"Brain Research 1826, 148733, 2024",0
Pierre-Yves Desprez,Role of the senescence-associated factor dipeptidyl peptidase 4 in the pathogenesis of SARS-CoV-2 infection,2024,"Aging and Disease 15 (3), 1398, 2024",5
Pierre-Yves Desprez,The Molecular Evolution of Melanoma Distant Metastases,2024,"Journal of Investigative Dermatology, 2024",4
Pierre-Yves Desprez,A Fully-Automated Senescence Test (FAST) for the high-throughput quantification of senescence-associated markers,2024,"GeroScience, 1-18, 2024",3
Pierre-Yves Desprez,Exosomes Released from Senescent Cells and Circulatory Exosomes Isolated from Human Plasma Reveal Aging-associated Proteomic and Lipid Signatures,2024,"bioRxiv, 2024.06. 22.600215, 2024",2
Pierre-Yves Desprez,Senescent characteristics of human corneal endothelial cells upon ultraviolet-A exposure,2024,"Aging (Albany NY) 16 (8), 6673, 2024",2
Pierre-Yves Desprez,Senescent cell heterogeneity and responses to senolytic treatment are related to cell cycle status during cell growth arrest.,2024,"BioRxiv, 2024.06. 22.600200, 2024",2
Pierre-Yves Desprez,Judith Campisi (1948–2024),2024,"Nature Reviews Cancer, 1-1, 2024",1
Pierre-Yves Desprez,1087P Phase II study of niraparib in patients with advanced melanoma with homologous recombination pathway gene mutations,2024,"Annals of Oncology 35, S719-S720, 2024",0
Pierre-Yves Desprez,miR-876-3p is a tumor suppressor on 9p21 that is inactivated in melanoma and targets ERK,2024,"Journal of Translational Medicine 22 (1), 758, 2024",0
Pierre-Yves Desprez,Quantitative proteomic analysis of the senescence secretory phenotype in UV-A induced senescent human corneal endothelial cells.,2024,"Investigative Ophthalmology & Visual Science 65 (7), 4169-4169, 2024",0
Pierre-Yves Desprez,Gene expression signatures of UV-A induced senescent human corneal endothelial cells.,2024,"Investigative Ophthalmology & Visual Science 65 (7), 4168-4168, 2024",0
Pierre-Yves Desprez,Cell type-dependent modulation of senescence features using Weo electrolyzed water,2024,"Aging (Albany NY) 16 (9), 7523, 2024",0
Pierre-Yves Desprez,Resorcinol-based compounds and uses thereof,2024,"US Patent App. 18/266,771, 2024",0
David Furman,The Space Omics and Medical Atlas (SOMA) and international astronaut biobank,2024,"Nature 632 (8027), 1145-1154, 2024",20
David Furman,"Single-cell multi-ome and immune profiles of the Inspiration4 crew reveal conserved, cell-type, and sex-specific responses to spaceflight",2024,"Nature Communications 15 (1), 4954, 2024",19
David Furman,"A second space age spanning omics, platforms and medicine across orbits",2024,"Nature 632 (8027), 995-1008, 2024",13
David Furman,Single-cell analysis identifies conserved features of immune dysfunction in simulated microgravity and spaceflight,2024,"Nature Communications 15 (1), 4795, 2024",8
David Furman,Role of the senescence-associated factor dipeptidyl peptidase 4 in the pathogenesis of SARS-CoV-2 infection,2024,"Aging and Disease 15 (3), 1398, 2024",5
David Furman,"The infrapatellar fat pad in inflammaging, knee joint health, and osteoarthritis",2024,"npj Aging 10 (1), 34, 2024",4
David Furman,Telomeric RNA (TERRA) increases in response to spaceflight and high-altitude climbing,2024,"Communications Biology 7 (1), 698, 2024",2
David Furman,Human NLRC4 promotes cancer survival and is associated to type-I interferon signaling and immune infiltration,2024,"The Journal of Clinical Investigation, 2024",2
David Furman,Substrate Stiffness Dictates Unique Doxorubicin-induced Senescence-associated Secretory Phenotypes and Transcriptomic Signatures in Human Pulmonary Fibroblasts,2024,"bioRxiv, 2024.11. 18.623471, 2024",0
